caption,commentsCount,likesCount,ownerFullName,ownerUsername,type,url,videoDuration,videoPlayCount
"😁 Dasturchilar uchun “Suyunchi” filmidan lavhalar 

🔥 Do’stlaringiz bilan bo’lishishni esdan chiqarmang!",4,71,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Sidecar,https://www.instagram.com/p/DBeMwsMN7KZ/,,
"🎉 Astrum jamoasi sizni 21-oktyabr — O’zbek tiliga davlat tili maqomi berilgan kun bilan qutlaydi! 

🖥 Dasturchilarimiz kelajakda o’zbek tili ravnaqiga xizmat qiladigan yangi ilova va dasturlar yaratishlariga tilakdoshmiz!",9,57,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Image,https://www.instagram.com/p/DBX3J1-tsUH/,,
"❓ IT’dagi bilimlaringiz qay darajada? 

⏳ Astrumning Telegram sahifasida dasturchilar uchun maxsus TESTni yechib ko’rib, natijalaringizni bilib oling!

🔍 Bilimlaringizni  mustahkamlash uchun bu ajoyib imkoniyatdan foydalaning!",0,37,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DBOf5SQNhWE/,13.166,1553.0
"‼️ Dasturchilar uchun lug‘at juda boy bo‘lishi lozim!

Agar siz dasturlash olamiga endigina qadam qo‘yayotgan bo‘lsangiz, unda “Deploy”, “Hosting”, “API”, “Debugging”, kabi tushunchalar sizga tez-tez uchrab turadi. 

💬 Ushbu atamalar dasturchining kundalik faoliyatida eng asosiy tushunchalardan bo‘lib, kod yozish va dastur yaratishda ularsiz iloji yo‘q.

Siz yana qanday dasturlash atamalarini bilasiz? ⬇️",2,47,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Sidecar,https://www.instagram.com/p/DBToS8TNlos/,,
"👊 Dasturchilarni o’zgarishga majbur qiladigan 5 ta kitob! 

📝 Bilimingizni kengaytirish va IT olamida muvaffaqiyatga erishishni istasangiz, videodagi kitoblar bilan albatta tanishing! 

❗️Esingizda bo‘lsin: har bir muvaffaqiyatli dasturchining ortida katta bilim va tajriba yotadi!",1,49,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Sidecar,https://www.instagram.com/p/DBBmjTIuo_c/,,
"🔍 Kodingizni qanday qilib tekshirishni bilasizmi?

👨‍💻 Keling unda kodingizni tekshirish uchun eng yaxshi 4 ta vositani aytib o’tamiz. Ular:

1 - “Unit Testing” 
2 - “Linting”
3 - “Jest”
4 - “Mocha”

💬 Yuqoridagilardan foydalanib kodingizni tez va oson tekshirishingiz mumkin. Bu vositalar koddagi xatolarni darhol aniqlab beradi. Ularni to‘g‘ri qo‘llash orqali yanada ishonchli va barqaror dasturlar yaratish mumkin.

👇 Siz qaysi vositadan foydalanasiz? Izohlarda bo’lishing!",3,52,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DBJb2TitdcB/,9.9,1988.0
"🌐 Dasturlash dunyosini o’zgartirgan shaxslar! 

💻 Ular intilish, izlanish va to‘xtovsiz mehnati bilan bu yo‘lni bosib o‘tishgan. Siz ham ular qatoridan joy olishni istaysizmi?

📇 Tasavvur qiling, birgina kod orqali siz yaratgan loyiha butun dunyo miqyosida yangiliklarga sabab bo’lishi mumkin. Astrum bilan dasturlashning cheksiz imkoniyatlarini kashf eting!",0,56,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DA8dfQqulzK/,30.905,1875.0
"🔍 Dasturchilarga aniq as qotadigan video! 

💻 Dasturchilar uchun asosiy 5 ta tavsiya bilan tanishing.  Bu maslahatlar ishingizni ancha yengil va samarali qiladi. 

🤫 Sizda ham shunga o’xshash “kasb sirlari” bo’lsa, izohlarda biz bilan bo’lishing.",6,75,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DAvlDXuOpJ3/,38.966,2110.0
"🎉 O'qituvchi va murabbiylar kuni muborak bo’lsin! 

📚 Yurtimizdagi barcha ustozlarni, shu jumladan Astrumdagi har bir mentorimizni bayram bilan qutlaymiz! 

🧑‍🏫 Har biringiz yorqin kelajak sari yo'l ochuvchi haqiqiy liderlarsiz.",0,60,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Image,https://www.instagram.com/p/DAkM7y9Rw6s/,,
"🥳 Astrumdan bayram uchun maxsus viktorina! 

❓ 1-oktabr — Ustoz va murabbiylar kuni munosabati bilan biz qiziqarli va quvnoq viktorina tashkil qildik. 

😉 Sizda Astrumdagi mentorlar uchun qiziqarli savollar bormi, marhamat izohlarda kutamiz.",12,95,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DAk0mY9uxXx/,78.018,2643.0
"💻 Kompyuter grafikasiga oid ko’plab yo’nalishlar bor. Let’s Animate markazida aynan qanday sohalar o’rgatilishi bo’yicha juda ko’p savollar beriladi.

Demak, bizning yo’nalishlar:
- Interyer Dizayn; 
- Arxitektura Revit;
- Grafik Dizayn;
- 3D Moushn Dizayn;
- 3D Animatsiya;
- 3D Generalist. 

⚡️ Ushbu kasblardan qay birini o’rganishni istardingiz? Sizni qiziqtirgan soha nomini izohlarda yozib qoldiring, biz sizga batafsil ma’lumot beramiz.",269,157,Let’s Animate oʻquv markazi,letsanimateuz,Sidecar,https://www.instagram.com/p/C8JteTDtDZO/,,
"🙄 O’rtamiyona dasturchi bo’lishni istamasangiz…

👆 Bu videoni albatta ko’rishingiz shart!  IT’da muvafaqqiyatli karyera qurish uchun asosiy 4 ta  ko’nikmalar bilan tanishing! 

🧑‍💻 Siz yana professional dasturchida  qanday ko’nikma bo’lishi shart deb hisoblaysiz, izohlarda javobingizni kutamiz!

Obuna bo’lishni unutmang! 
@astrumuz",4,73,Astrum - Biz yangi yulduzlarni kashf etamiz,astrumuz,Video,https://www.instagram.com/p/DAiu41KNbkL/,47.646,2773.0
"Room Planner — bu xona dizayni va mebel joylashuvini rejalashtirish uchun mo‘ljallangan dastur. U foydalanuvchilarga uy yoki ofis xonalarini virtual tarzda loyihalashtirish imkoniyatini beradi. Room Planner yordamida siz turli mebel, ranglar va dekor elementlarini qo‘shib, xonangizning 2D yoki 3D ko‘rinishini yaratishingiz mumkin. Dastur professional dizaynerlar va oddiy foydalanuvchilar uchun qulay vosita hisoblanadi va ko’pincha “IKEA”, “Houzz” kabi brendlar bilan integratsiya qilingan bo‘ladi.

Siz qaysi ilovani o’rnatib, ishlatib ko’rgansiz? Sizga yoqqanmi? 

Izohlarda tajribangiz  bilan bo’lishing.",12,117,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C_nlXSttFoA/,68.4,5133.0
"Minimalizm: haqiqiy go’zallik soddalikda!

✨ Minimalizmning maqsadi — hayotni soddalashtirish va ortiqcha stressdan xalos bo‘lishdir. Bu uslub insonning tinchlanishiga, e’tiborini jamlashiga yordam beradi va “less is more” degan tushunchaga asoslanadi. Minimalistik interyerlar oddiy va tartibli ko‘rinadi, ammo bu soddalik ortida chuqur va puxta o‘ylangan dizayn yotadi.

Siz uyingiz interyeri uchun minimalizm stilidan foydalangan bo’larmidingiz? Izohlarda yozib qoldiring.",5,96,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C_I2JMWtDVM/,95.566,3784.0
"Interyer dizaynerning mijozga loyiha topshirish jarayoni qanday bo‘ladi? 

Agar siz interyer dizayn sohasiga endi kirayotgan bo‘lsangiz, bu jarayon siz uchun juda foydali!

1️⃣ Muzokara va brif – mijoz xohishlarini aniqlash.
2️⃣ Planirovka – ishchi chizmalar va joylashuvni rejalashtirish.
3️⃣ Konsepsiya kollaji – ranglar, materiallar va teksturalar birikmasi.
4️⃣ 3D Vizualizatsiya – model yaratish va render qilish.
5️⃣ Post production – yakuniy taqdimot va loyiha topshirish.

Siz ham bunday ijodiy jarayonni o‘rganishni xohlarmidingiz? Fikringizni yozib qoldiring! ✨",4,81,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C_iirm9tLzu/,104.8,3352.0
"Siz yana qanday mijoz turlari bilan ishlaysiz, qadrli dizaynerlar🥲",6,105,Let’s Animate oʻquv markazi,letsanimateuz,Sidecar,https://www.instagram.com/p/C_Qvz1LN6hb/,,
"Vaqt eng qimmat resurs! 

⚡️ Hozirgi raqobatdosh zamonda bir sohani o’rganib, yaxshi mutaxassis bo’lish uchun 3-4 yillab vaqt ketkazish shart emas. Arxitektura va Interyer dizayn sohalarini o’rganish uchun o’rtacha 4 oy vaqt yetarli. Bir yoki ikki yil oralig’ida esa siz bozorda o’z o’rniga ega kuchli mutaxassislar qatorida bo’lishingiz mumkin. 

💻 Buning uchun, albatta, bilimingizga investutsiya kiriting va sohani chuqur o’rganing. Bu yo’lda sizga Let’s Animate markazining ko’p yillik tajribaga ega ustozlari sohalarning sir-asrorlarinio’rgatadilar va sizni aynan kasbga yo’naltiradilar. 

Batafsil ma’lumot olish uchun izohlarda “Revit” yoki “Interyer” so’zini yozib qoldiring.",194,765,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C_A_zTQteXB/,54.666,94204.0
"Motion dizaynda ishlash vaqti keldi! 

⚡️Grafik dizaynerlar o’z sohasida kuchli mutaxassis bo’lishlari uchun, albatta, yangi bilimlarni o’rganishi zarur. Ulardan “motion design” yo’nalishi hozirda bozor talabiga aylangan.

Siz ham karyera borasida o’smoqchi bo’lsangiz va o’rtacha cheklaringizni oshirishni reja qilayotgan bo’lsangiz, markazimiz bu kasbni o’rgatishga tayyor. Ustozimiz Sanjar Beknazarov - 20+ yillik tajribaga ega mutaxassis, Houdini rassomi darslarni olib boradilar.

Batafsil ma’lumot olish uchun izohlarda “motion” so’zini yozib qoldiring 🕊",205,1518,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C-ueeV9u5sr/,54.566,428742.0
"Izohlarda davom ettiring 😉

Dizayner - …",37,263,Let’s Animate oʻquv markazi,letsanimateuz,Sidecar,https://www.instagram.com/p/C-4iqC5OFZ6/,,
"Начните карьеру в IT сейчас! 💥

Ищете курсы по программированию или дизайну?
В Академии есть:
• Разработка ПО
• Фронтенд и Бекенд разработка
• Графический и Моушн дизайн 
• Дизайн интерьера 

Курсов много, выбирайте для себя и записывайтесь! 😉

Старт занятий уже скоро 

Подробнее: +99878-113–33-43",2,15,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/DBLbjyUO_39/,4.166,3335.0
"Многие дети уже достигли успехов в IT: они разрабатывают приложения, создают собственные игры и даже программируют роботов. 😎

Родители, представляете, как такие навыки могут повлиять на будущее вашего ребенка? 

👉 В IT STEP мы помогаем детям с 7 лет освоить программирование, дизайн, робототехнику и другие направления. 

Это не просто обучение — это развитие мышления, уверенности и навыков, которые востребованы в современном мире. 

⚡️Успейте записать своего ребенка до конца октября и подарите ему шанс стать успешным в IT!

Подробнее: +99878-113-33-43",0,10,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/DBGu3G7u79P/,34.032,1225.0
"Не знаешь как начать карьеру в IT?

Мы подготовили подробный план как это сделать 🤩

Смотри в карусели 💥",1,15,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Sidecar,https://www.instagram.com/p/DAVdYvKuSpo/,,
"Как изучить IT-направление всего за неделю? 🤔

🍁 Ждем ребят в возрасте от 9 до 14 лет в осеннем лагере от Компьютерной Академии IT STEP 
 
Мы подготовили для Вас крутую программу, в рамках которой вы изучите одно из направлений IT в интерактивном формате 👾
 
Для ребят от 9 до 11 направления: 
🤖 Roblox 
🖥️ Знакомство с ИИ 
 
А для ребят от 12 до 14 лет: 
✨ Личный Бренд с ИИ 
⚽️ Киберспорт 
🎮 Unity 
💻 ИИ для программистов 
🖌️ ИИ для дизайнеров 
 
Чтобы узнать подробнее про направления или записаться в Осенний лагерь, оставьте “+” под этой публикацией",6,7,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Image,https://www.instagram.com/p/DAkiH8UOVt2/,,
"Interyer Dizaynerlar qanday qilib o’z darajasini ko’taradilar? 

🎯 Unreal Engine dasturini o’rganish orqali siz O’zbekistonda sanoqli mutaxassislar qatoridan joy olasiz. Render uchun juda kam vaqt sarflab, ishingizning sifatini 10x ga oshirasiz. Raqobatchilaringizdan ajralib turasiz va mijozlaringizga sifatli ishlarni topshirasiz. Sizda mijoz bazasi ko’paygani sari o’rtacha cheklaringiz ham oshib boradi.

🔥 Agarda siz karyera va moddiy tomonlama o’sishni istasangiz, masterklasslarimizda ishtirok etib, bepul konsultatsiyaga ega bo’ling. Ro’yxatdan o’tish uchun esa izohlarda “Render” so’zini yozib qoldiring.",75,265,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C-khgQHNnMh/,110.2,79121.0
"👏Ты дизайнер и мечтаешь ускорить создание своих проектов? 

Нейросети помогут воплотить самые смелые идеи! Они открывают новые горизонты для творчества, позволяют экспериментировать со стилями и быстро решать рутинные задачи. 😎

С их помощью ты сможешь создавать еще более уникальные и впечатляющие работы. 

Мы собрали самые доступные в этом видео👆",0,14,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/DAFvXq1u93r/,17.116,1219.0
"Бесплатные пробные уроки в IT STEP🥇

Проводите свои выходные с пользой в нашей академии. 
Каждую субботу мы проводим пробные уроки для взрослых и детей, где каждый может попробовать себя в роли программиста, дизайнера, разработчика игр 😎

Для участия нужно просто зарегистрироваться 🤩
Оставьте любой смайлик в комментариях и мы вам поможем с этим",7,14,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/C_xZ5lGOfBX/,16.25,2100.0
"Frilansda ishlovchi aksariyat mutaxassislar eng ko’p duch keladigan holat - dedlaynga ulgura olmaslik bo’ladi, odatda.

⚡️ Dedlaynlar sizni tashvishga qo’ymasligi uchun bir nechta tavsiyalar bilan karuselda bo’lishdik. Va u yerda yozilgan Pomodoro texnikasi va Pareto qonuni haqida quyida o’qishingiz mumkin:

✅ Pomodoro texnikasi
1. Vazifalar ro’yxati tuzing:
- Ishlaydigan vazifalarni aniq qilib belgilang.
- Katta vazifalarni kichik qism(larga) bo’ling.
2. 25/45 daqiqalik taymer o’rnating:
- Taymerni 25/45 daqiqaga o’rnating va ishlashni boshlang.
- Bu vaqt ichida faqat bir vazifaga e’tibor qarating, boshqa narsalarga chalg’imaslikka harakat qiling.
3. Ish jarayonini davom ettiring:
- Taymer tugagach, qisqa tanaffus qiling (5 daqiqa).
- Shu orada harakat qiling, suv iching yoki qisqa yurib keling.
4. To’rt marta takrorlang:
- 25/45 daqiqalik 4 tsiklni bajarganingizdan so’ng, uzunroq tanaffus oling (15-30 daqiqa).
- Bu vaqt davomida miyangizni dam oldiring, qo’l-oyoqni cho’zib, yengil mashqlar qiling.

✅ Pareto Qonuni (80/20 Qoidasi)
1. Asosiy tamoyil: Natijalarning 80 foizi sabablarning 20 foizidan kelib chiqadi.
2. Ish samaradorligi: Kichik qismdagi harakatlar katta ta’sir ko’rsatadi.
3. Vaqt boshqaruvi: Vaqtingizni natijaga eng ko’p ta’sir ko’rsatadigan 20% vazifalarga qaratish kerak.
4. Amaliy qo’llanish: Eng muhim vazifalarni aniqlab, ularga e’tibor qarating.",7,36,Let’s Animate oʻquv markazi,letsanimateuz,Sidecar,https://www.instagram.com/p/C-Z7ULbtrHn/,,
"Вы хотите начать карьеру в IT, но не представляете с чего начать? 😩

И начинаете «со всего». 

Обычно, многие начинающие программисты в этот период совершают одни и те же ошибки.
А какие, мы рассказали в видео 😎

Смотрите, чтобы не повторять их",0,13,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/C_-dKn_uYIQ/,22.89,1659.0
"Малая академия IT STEP предлагает уникальные программы, которые развивают креативность, логику и навыки программирования с раннего возраста.

Узнайте, как наши курсы помогают детям шагать в ногу с технологиями и раскрывать их потенциал!

📽️ Посмотрите видео, чтобы узнать больше и подарите своему ребёнку шанс на успешное будущее!

Оставьте в комментариях «+» чтобы получить программу обучения",8,29,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/C-kTSIyuGU-/,52.4,2474.0
"Хватит просто мечтать о новой профессии. Действуйте 🔥

Делимся информацией о нашем курсе «Дизайн интерьера»

👉 Вы научитесь работать с чертежами, создавать различные концепции интерьера, освоите такие программы, как: Photoshop,  3Ds MAX, AutoCad и другие. Научитесь моделировать предметы интерьера
и настраивать материалы VRay, Corona и тд.

По окончании курса и при успешной сдаче дипломной работы студенты получают международный диплом Академии,  а также в процессе обучения Сертификаты от Autodesk и AutoCAD 🌤

За 12 месяцев вы получите готовое портфолио, которое сможете презентовать потенциальным работодателям.
А Карьерный центр Академии поможет вам с составлением резюме и поиском подходящей вакансии

✅ Интересно?
Оставьте плюс в комментариях и мы расскажем вам о курсе подробнее",17,21,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/C-uL2HCos8Q/,34.066,1681.0
"Сьюзен Кэр — имя, которое навсегда изменило мир цифрового дизайна. 🌸

Она создала первые иконки для компьютеров Apple, сделав интерфейсы интуитивно понятными и стильными. 

🥇Вдохновляетесь такими примерами? Хотите сами научиться создавать уникальные дизайны и воплощать свои идеи в жизнь? 

Запишитесь на курсы по дизайну в IT STEP и сделайте первый шаг к своей мечте!
Оставляйте смайлик в комментариях и мы расскажем больше о курсах 👌🏻",0,18,ОБУЧЕНИЕ ПРОГРАММИРОВАНИЮ И ДИЗАЙНУ В ТАШКЕНТЕ,itstep.tashkent,Video,https://www.instagram.com/p/C_NFtH9O6-P/,28.894,1829.0
"Siz ham Interyer dizayner bo’la olasiz. Agarda: 

- kompyuterda ishashni yoqtirsangiz;
- qaysi binoga kirmang, birinchi bo’lib u joyning dizayni e’tiboringizni tortsa;
- stillar borasida didliman deb hisoblasangiz;
- arxitektura ishlariga oz bo’lsada qiziqsangiz;
- Va 9 dan 6 gacha ish rejimi sizga tog’ri kelmasa.

Kurslarimiz bo’yicha batafsil ma’lumot olish uchun izohlarda “dars” so’zini yozib qoldiring✨",76,90,Let’s Animate oʻquv markazi,letsanimateuz,Video,https://www.instagram.com/p/C-qEAQXNSQS/,56.433,3449.0
"🔥Работы наших студентов с нуля и за один месяц 

Научим и вас:

-снимать на телефон крутые кадры 
-быть в тренде и пилить видео-контент
-вести свой контент как популярные блогеры
-зарабатывать на своих навыках

Пиши в комментариях «+» и записывайся по акции 1+1❤️",172,334,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C086AFytULu/,15.666,28655.0
"Самый короткий и безопасный путь начать свой первый бизнес на маркетплейсе - это пройти все его с тем, кто уже его проходил.

Курс «Uzum Seller» это как раз то место.

-опытнейшие наставники
-6 недель , онлайн
-самая актуальная информация и рабочие стратегии

Оставляй «+» в комментариях и мы вышлем тебе подробную информацию в директ",115,170,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C9-PQs6tvaT/,13.733,15287.0
"Мы попросили прохожих испытать свою удачу и поиграть в гольф 🎯💸 
Досмотри до конца, чтобы узнать, что стало с мячиком...",28,-1,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C8M8lAltfcI/,78.0,19634.0
"3 упражнения для вашей продуктивности..

🔥Переворачиваем телефон
🔥Смотрим как мы справили Milliy Party
🔥Лайкаем и репостим

Генеральный партнер
@glo.uzb 

@vuse.uz 

Фуд партнеры
@ris_uzbekistan 

@xamirchi 

Бар:
@spletni.bar 

Музыкальная группа:
@kukchoyofficial 

Общение и размышление от
@timekeeper_lounge.uz 

Локация
@park__navruz 

Лучшие диджеи
@373loud 
@justkamamusic 

Видео-отчет: @bekzod_nasrullaev @mmoki23",65,809,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C6DqmUOt8p2/,83.24,34476.0
"🚀 Запись на курс СММ-специалиста открыта!

❗️Мест мало, так что поторопись❗️

Первые 10 счастливчиков получат скидку 20%!

Ознакомься с курсом 👇🏻

НОВЫЙ ПРОКАЧАННЫЙ КУРС СММ-СПЕЦИАЛИСТА:
• Работа с нейросетями
• Разработка контент-стратегий
• Таргетированная реклама
• Мобилография
• Работа с инфлюенсерами
• Копирайтинг и создание креативного контента
• Помощь в оформлении резюме и портфолио, подготовка к собеседованию.

3 лекции в неделю, 20 живых занятий с крутыми спикерами, доступ к записям на 2 месяца, помощь в трудоустройстве и многое другое! Прокачайся с нами и стань мастером соцсетей! ✨

Напиши «+» в комментариях, и мы свяжемся с тобой для подробностей.",186,-1,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C71tUMvtWMx/,9.541,21674.0
"Пора ! ⏰ 
BAHOR KELDI!

Готов к одной из самых незабываемых вечеринок?

Которая состоится ⤵
🗓 20 апреля в 17:00 
📍Парк Навруз, Анхор Локомотив

Где будет встреча с известными блогерами, плов и все в традиционном стиле.

Увидимся, повеселимся и потанцуем😘

💥 До встречи на TEHNIKUM MILLIY PARTY 🤩🇺🇿

Dress Code - MILLIY 🇺🇿
(В национальном стиле)

Если ты студент, то регистрация в группе Family

Для всех остальных, можно будет приобрести билет на входе. Стоимость 100.000 сум.

Вход строго по браслетам)",12,235,⚡️TEHNIKUM,tehnikum.school,Video,https://www.instagram.com/p/C55tDtQtDE5/,13.933,22648.0
